species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Cambarus hubrichti,37.09770644,-91.49972652,TRUE,13.19166658,
Cambarus hystricosus,34.88641661,-78.90667812,TRUE,16.3756669,
Cambarus jezerinaci,36.8367911,-83.77056584,TRUE,12.84866678,
Cambarus johni,35.70302199,-81.93525834,TRUE,13.97500032,
Cambarus jonesi,34.91170143,-87.05158706,TRUE,15.10099993,
Cambarus laconensis,34.59971195,-86.88914561,TRUE,15.61866629,
Cambarus latimanus,33.08571833,-82.97470831,TRUE,17.33533351,
Cambarus lenati,35.17981178,-81.75886426,TRUE,14.99400004,
Cambarus longirostris,35.77016733,-83.68894612,TRUE,13.39766651,
Cambarus longirostris,34.06237486,-82.59886861,TRUE,16.40433307,yes
Cambarus longulus,36.0177971,-78.56825966,TRUE,14.8343332,
Cambarus ludovicianus,34.6774669,-92.69763327,TRUE,15.95566662,
Cambarus maculatus,38.04197366,-91.10112816,TRUE,12.72300015,
Cambarus manningi,34.28925707,-85.16647068,TRUE,15.61900016,
Cambarus miltus,31.30763598,-86.93950451,TRUE,18.23999985,
Cambarus monongalensis,38.91621288,-79.76467278,TRUE,9.076333379,
Cambarus nerterius,38.14092448,-80.2625,TRUE,9.230999846,
Cambarus nodosus,34.47838003,-83.22101,TRUE,15.63499999,
Cambarus obeyensis,36.01579542,-85.15908271,TRUE,12.5976668,
Cambarus obstipus,33.60723319,-87.19939187,TRUE,16.25599976,
Cambarus ortmanni,39.53292995,-84.92406353,TRUE,10.72866663,
Cambarus parrishi,35.11262565,-83.36394453,TRUE,12.45900007,
Cambarus parvoculus,37.25066956,-82.85700294,TRUE,12.23566677,
Cambarus pecki,34.35150239,-87.13361698,TRUE,15.26099992,
Cambarus polychromatus,40.1575308,-86.05575036,TRUE,10.28966668,
Cambarus pristinus,35.49943558,-85.437936,TRUE,12.94166656,
Cambarus pyronotus,30.22044769,-84.94583333,TRUE,19.56233319,
Cambarus reburrus,35.0742107,-82.71683861,TRUE,12.70433331,
Cambarus reduncus,34.38102275,-79.7456504,TRUE,16.73066656,
Cambarus reflexus,33.30281758,-81.25116553,TRUE,17.65866681,
Cambarus rusticiformis,37.19907765,-86.84528561,TRUE,13.6550001,
Cambarus sciotensis,36.58477564,-81.43694458,TRUE,10.2973335,
Cambarus scotti,34.42215856,-85.17876793,TRUE,15.09000007,
Cambarus setosus,36.8499403,-93.96175522,TRUE,13.22766662,
Cambarus speciosus,34.60912361,-84.44184333,TRUE,14.05266664,
Cambarus speleocoopi,34.23790714,-86.6101319,TRUE,15.20899975,
Cambarus sphenoides,35.88666621,-84.23268762,TRUE,14.03399982,
Cambarus spicatus,34.90684711,-81.72290711,TRUE,15.44833346,
Cambarus striatus,33.98467615,-85.71671052,TRUE,15.84199969,
Cambarus strigosus,33.93517392,-82.39342228,TRUE,16.5066667,
Cambarus subterraneus,36.32298422,-94.75472416,TRUE,14.56400013,
Cambarus tartarus,37.69484027,-95.37708333,TRUE,13.63633329,
Cambarus tenebrosus,37.55661875,-86.38966208,TRUE,13.22933324,
Cambarus thomai,39.36231551,-82.59251781,TRUE,10.95066693,
Cambarus truncatus,32.85909363,-82.69998334,TRUE,17.6856668,
Cambarus tuckasegee,35.30899906,-83.30625,TRUE,11.2253334,
Cambarus unestami,34.93348022,-85.36070031,TRUE,14.6686664,
Cambarus veitchorum,34.91170143,-87.05158706,TRUE,15.10099993,
