species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Procambarus_regiomontanus,cambaridae,,,,,46,carapace.length,92.92,92.92,21.29966656,Semi-terrestrial/Aquatic,Villalobos 1954,"Estudios de los cambarinos mexicanos, XI. Una nueva subspecie de Procambarus simulans del estado de Nuevo León. Anales del Instituto de Biología",
Procambarus_nueces,cambaridae,yes,,,,107,total.body.length,107,107,21.56166665,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hoffmani,cambaridae,yes,,,,61,total.body.length,61,61,22.20966673,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_alleni,cambaridae,yes,,44.3,,44.3,carapace.length,89.486,89.486,22.41633336,Semi-terrestrial/Aquatic,"Vanarman, 2003",Biology and Ecologyof Epigean Crayfish That Inhabit Everglades Environments Procambarus alleni (Faxon) and Procambarus fallax (Hagen),
Procambarus_mexicanus,cambaridae,yes,,,,51.5,total.body.length,51.5,51.5,22.82966677,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hidalgoensis,cambaridae,yes,,,,36.9,total.body.length,36.9,36.9,22.83933322,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_chacalli,cambaridae,,,,,26.9,carapace.length,54.338,54.338,22.90099986,Semi-terrestrial/Aquatic,Hobbs 1958,Two new crayfishes of the genus Procambarus from South Carolina,
Procambarus_tlapacoyanensis,cambaridae,yes,,,,61,total.body.length,61,61,22.90899992,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hortonhobbsi,cambaridae,yes,,,,56,total.body.length,56,56,23.11799971,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_caballeroi,cambaridae,yes,,,,71.3,total.body.length,71.3,71.3,23.66933314,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_gonopodocristatus,cambaridae,,,,,32.9,carapace.length,66.458,66.458,23.85866674,Semi-terrestrial/Aquatic,Villalobos 1957,"ESTUDIOS DE LOS CAMBARINOS MEXICANOS. XIII DESCRIPCION DE UNA NUEVA ESPECIE DE CAMBARINO DEL ESTADO DE VERACRUZ (CRUSTACEA, DECAPODA)",
Procambarus_teziutlanensis,cambaridae,yes,,,,55,total.body.length,55,55,23.85866674,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_erichsoni,cambaridae,yes,,,,56.5,total.body.length,56.5,56.5,23.86733309,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_llamasi,cambaridae,yes,46,58.6,41,86,total.body.length,86,86,23.88166666,Semi-terrestrial/Aquatic,Rodriguez-Serna 2000,"Fecundity, egg development and growth of juvenile cray®sh Procambarus (Austrocambarus) llamasi (Villalobos 1955) under laboratory conditions",
Procambarus_toltecae,cambaridae,yes,,,,58,total.body.length,58,58,24.42966715,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_catemacoensis,cambaridae,yes,,,,64,total.body.length,64,64,24.65766652,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_veracruzanus,cambaridae,yes,,,,59,total.body.length,59,59,24.78866688,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_cubensis_cubensis,cambaridae,,,,,45,total.body.length,45,45,24.87533331,Semi-terrestrial/Aquatic,Shuranova et al. 2005,Habituation to a Novel Environment in the Crayfish Procambarus Cubensis,
Procambarus_xilitlae,cambaridae,yes,,,,55,total.body.length,55,55,25.07733329,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_olmecorum,cambaridae,yes,,,,47.6,total.body.length,47.6,47.6,25.08766667,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_strenthi,cambaridae,,,,,24.3,carapace.length,49.086,49.086,25.2986668,Semi-terrestrial/Aquatic,Hobbs 1977,"A new crayfish (Decapoda: Cambaridae) from San Luis Potosí, Mexico",
Procambarus_ruthveni,cambaridae,yes,,,,79,total.body.length,79,79,25.47233311,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_citlaltepetl,cambaridae,yes,,,,67.5,total.body.length,67.5,67.5,25.67699989,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_vazquezae,cambaridae,yes,,,,33,total.body.length,33,33,25.90500037,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_zapoapensis,cambaridae,yes,,,,70,total.body.length,70,70,25.95266676,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_pilosimanus,cambaridae,yes,,,,72.2,total.body.length,72.2,72.2,25.99566666,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_maya,cambaridae,yes,,,,43.2,total.body.length,43.2,43.2,26.26366711,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_rhynchotus,parastacidae,,,,,85,total.body.length,85,85,27.19833358,Semi-terrestrial/Aquatic,Riek 1951,The freshwater crayfish (family Parastacidae) of Queensland,
Cambarus_bartonii_cavatus,cambaridae,yes,,,,110.7,total.body.length,110.7,110.7,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_albidus,parastacidae,,,,,69,carapace.length,129.72,129.72,,Semi-terrestrial/Aquatic,Height and Whisson 2006,Behavioural responses of Australian freshwater crayfish (Cherax cainii and Cherax albidus) to exotic fish odour,"not a max value, but its as good as im gonna get with this species"
