OBJECTID,id_no,species,decimalLatitude,decimalLongitude
122,18212,Cambarus pecki,34.35150239,-87.13361698
415,153926,Cambarus polychromatus,40.1575308,-86.05575036
24,3680,Cambarus pristinus,35.49943558,-85.437936
25,3681,Cambarus pyronotus,30.22044769,-84.94583333
46,3702,Cambarus reburrus,35.0742107,-82.71683861
422,153933,Cambarus reduncus,34.38102275,-79.7456504
388,153901,Cambarus reflexus,33.30281758,-81.25116553
472,153982,Cambarus rusticiformis,37.19907765,-86.84528561
301,153820,Cambarus sciotensis,36.58477564,-81.43694458
47,3703,Cambarus scotti,34.42215856,-85.17876793
486,153995,Cambarus setosus,36.8499403,-93.96175522
48,3704,Cambarus speciosus,34.60912361,-84.44184333
527,164915,Cambarus speleocoopi,34.23790714,-86.6101319
257,153778,Cambarus sphenoides,35.88666621,-84.23268762
49,3705,Cambarus spicatus,34.90684711,-81.72290711
378,153891,Cambarus striatus,33.98467615,-85.71671052
50,3706,Cambarus strigosus,33.93517392,-82.39342228
26,3682,Cambarus subterraneus,36.32298422,-94.75472416
27,3683,Cambarus tartarus,37.69484027,-95.37708333
373,153886,Cambarus tenebrosus,37.55661875,-86.38966208
424,153935,Cambarus thomai,39.36231551,-82.59251781
29,3685,Cambarus truncatus,32.85909363,-82.69998334
338,153853,Cambarus tuckasegee,35.30899906,-83.30625
30,3686,Cambarus unestami,34.93348022,-85.36070031
293,153812,Cambarus veitchorum,34.91170143,-87.05158706
31,3687,Cambarus veteranus,37.88214084,-82.01351264
28,3684,Cambarus williami,36.00674654,-86.23990998
22,3678,Cambarus zophonastes,35.79738472,-92.30744215
180,153665,Cherax bicarinatus,-12.51714597,133.9207955
531,165920,Cherax boesemani,-1.50948232,132.356334
157,153634,Cherax cainii,-31.45838548,117.9342736
158,153634,Cherax cainii,39.19588378,101.55573
165,153642,Cherax cuspidatus,-29.35550474,152.6368742
147,153619,Cherax dispar,-26.71580255,152.7342153
170,153651,Cherax holthuisi,-1.711403232,132.1393864
188,153683,Cherax lorentzi,-4.314347379,137.7630469
533,165922,Cherax monticola,-4.70503436,138.7924524
142,153610,Cherax pallidus,-3.998480218,136.1720347
175,153660,Cherax papuanus,-6.395856584,143.3625
532,165921,Cherax peknyi,-6.551479764,140.9561941
193,153690,Cherax preissii,-33.44991769,116.9190153
51,4621,Cherax quadricarinatus,-25.49327029,137.3464997
