OBJECTID,id_no,species,decimalLatitude,decimalLongitude
305,153824,Procambarus raneyi,33.88057401,-82.71436174
126,18216,Procambarus rathbunae,31.0258823,-86.1009977
425,153936,Procambarus regalis,33.72719086,-94.80357149
508,154016,Procambarus regiomontanus,25.9760921,-99.77532009
127,18217,Procambarus reimeri,34.22863967,-94.69153425
456,153966,Procambarus riojae,19.94950488,-97.76862016
436,153947,Procambarus roberti,22.81938928,-100.9270833
408,153921,Procambarus rodriguezi,18.9674042,-96.46912036
138,62030,Procambarus rogersi,30.46551889,-84.59395424
493,154002,Procambarus ruthveni,17.86352039,-95.49492785
245,153767,Procambarus sbordonii,16.5166484,-93.24864585
430,153941,Procambarus seminolae,30.80344155,-82.33688141
468,153978,Procambarus shermani,31.70744167,-88.4662488
416,153927,Procambarus simulans,34.82458882,-100.2651469
351,153866,Procambarus spiculifer,32.31667317,-83.73835833
128,18218,Procambarus steigmani,33.3113406,-96.39149938
503,154011,Procambarus strenthi,21.90271697,-98.84094316
349,153864,Procambarus suttkusi,31.16653677,-85.78570289
522,154028,Procambarus talpoides,30.59263347,-82.43498464
129,18219,Procambarus texanus,30.40432633,-98.42094392
323,153837,Procambarus teziutlanensis,20.0077624,-97.05399
429,153940,Procambarus tlapacoyanensis,19.9305317,-97.05399
379,153892,Procambarus toltecae,22.36414151,-99.28811517
336,153851,Procambarus troglodytes,33.84955079,-80.15578677
240,153763,Procambarus truculentus,32.46973774,-82.03467656
253,153775,Procambarus tulanei,33.15682719,-92.51695356
300,153819,Procambarus vazquezae,17.99226514,-95.28394953
243,153765,Procambarus veracruzanus,18.87844653,-96.59195031
267,153786,Procambarus verrucosus,31.45657227,-85.91622445
405,153918,Procambarus versutus,31.79187923,-86.30661164
302,153821,Procambarus viaeviridis,33.86471535,-89.69102902
445,153955,Procambarus villalobosi,22.00419027,-99.83099566
386,153899,Procambarus vioscai,32.52143473,-90.7625
496,154005,Procambarus williamsoni,15.07141522,-89.2695809
375,153888,Procambarus xilitlae,21.71061406,-98.86640742
271,153790,Procambarus xochitlanae,20.01047745,-97.67901174
435,153946,Procambarus youngi,30.41795048,-84.02281405
291,153810,Procambarus zapoapensis,18.11671757,-94.73445892
511,154019,Procambarus zihuateutlensis,20.01415554,-97.67264326
483,153993,Procambarus zonangulus,37.50034872,-78.65295471
484,153993,Procambarus zonangulus,31.06215161,-94.38748907
239,153757,Spinastacoides catinipalmus,-42.40156831,145.6405282
176,153661,Spinastacoides inermis,-43.14382179,146.4625741
197,153698,Spinastacoides insignis,-43.10166712,146.0887135
251,153773,Troglocambarus maclanei,28.828523,-82.29968655
153,153629,Virilastacus araucanius,-40.03745947,-73.50574731
182,153668,Virilastacus retamali,-40.75432706,-72.92782738
229,153746,Virilastacus rucapihuelensis,-41.00664477,-73.21520755
