species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Cherax_setosus,parastacidae,yes,2,17.43,16.25,18.62,post.orbital.carapace.length,39.18705432,39.18705432,,Semi-terrestrial,"Mccormack & Coughran, 2011","Taxonomy, distribution and ecology of the Setose Yabby, Cherax setosus (Riek, 1951)",
Engaeus_affinis,parastacidae,yes,,,,53.2,total.body.length,53.2,53.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_granulatus,parastacidae,yes,,,,67.7,total.body.length,67.7,67.7,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_mallacoota,parastacidae,yes,,,,42.1,total.body.length,42.1,42.1,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_martigener,parastacidae,yes,,,,52.5,total.body.length,52.5,52.5,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_orramakunna,parastacidae,yes,,,,63.3,total.body.length,63.3,63.3,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_phyllocercus,parastacidae,yes,,,,56.2,total.body.length,56.2,56.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_spinicaudatus,parastacidae,yes,,,,46.9,total.body.length,46.9,46.9,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_sternalis,parastacidae,yes,,,,40.4,total.body.length,40.4,40.4,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_urostrictus,parastacidae,yes,4,18.9,16,20.2,post.orbital.carapace.length,41.63444444,41.63444444,,Semi-terrestrial,"Horwitz, 1990",A Taxonomic Revision of Species in the Freshwater Crayfish Genus Engaeus Erichson (Decapoda : Parastacidae),
Engaeus_yabbimunna,parastacidae,yes,,,,46.3,total.body.length,46.3,46.3,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_pseudoreducta,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_reducta,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaewa_walpolea,parastacidae,yes,,,,37,total.body.length,37,37,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_dalagarbe,parastacidae,yes,,,,75.9,total.body.length,75.9,75.9,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_reductus,parastacidae,yes,,,,70,total.body.length,70,70,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_yigara,parastacidae,yes,,,,47.2,total.body.length,47.2,47.2,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_wallsi,cambaridae,,,,,32.7,carapace.length,70.959,70.959,,Semi-terrestrial,Johnson 2011,"Fallicambarus (F.) wallsi (Decapoda: Cambaridae), a new burrowing crayfish from Eastern Texas",
Lacunicambarus_erythrodactylus,cambaridae,yes,17,39.5,,39.5,carapace.length,77.025,77.025,,Semi-terrestrial,"Simon & Morris, 2015","Cambarus (Lacunicambarus) erythrodactylus, a new species of crayfish (Decapoda: Cambaridae) of the Cambarus diogenes complex from Alabama and Mississippi, U.S.A.",
Lacunicambarus_freudensteini,cambaridae,yes,3,,,23.3,carapace.length,45.435,45.435,,Semi-terrestrial,"Glon et al, 2020",Two new species of burrowing crayfish in the genus Lacunicambarus (Decapoda: Cambaridae) from Alabama and Mississippi,
Lacunicambarus_mobilensis  ,cambaridae,yes,6,,,24.36,carapace.length,47.502,47.502,,Semi-terrestrial,"Glon et al, 2020",Two new species of burrowing crayfish in the genus Lacunicambarus (Decapoda: Cambaridae) from Alabama and Mississippi,
Parastacus_tuerkeyi,parastacidae,yes,1,26.45,,26.45,carapace.length,51.842,51.842,,Semi-terrestrial,"Ribeiro et al., 2017","A new species of Parastacus Huxley, 1879 (Crustacea, Decapoda, Parastacidae) from a swamp forest in southern Brazil",
Procambarus_rogersi_campestris,cambaridae,yes,,,,64.5,total.body.length,64.5,64.5,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_rogersi_ochlocknensis,cambaridae,yes,,,,54.4,total.body.length,54.4,54.4,,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Spinastacoides_tasmanicus,parastacidae,yes,65,30.03,23.51,35.03,carapace.length,64.8055,64.8055,,Semi-terrestrial,Hamr 1995,The reproductive biology of the tasmanian freshwater crayfish parastacoides t. tasmanicus,
